100 50
1 1 N
1 2 N
1 3 N
1 4 B
1 5 T
1 6 T
1 7 T
1 8 N
1 9 N
1 10 B
1 11 N
1 12 T
1 13 B
1 14 H
1 15 H
1 16 H
1 17 H
1 18 T
1 19 H
1 20 N
1 21 N
1 22 H
1 23 N
1 24 T
1 25 N
1 26 H
1 27 N
1 28 N
1 29 H
1 30 N
1 31 T
1 32 H
1 33 N
1 34 N
1 35 N
1 36 T
1 37 H
1 38 T
1 39 N
1 40 N
1 41 N
1 42 H
1 43 N
1 44 N
1 45 N
1 46 N
1 47 T
1 48 N
1 49 B
1 50 N
2 1 N
2 2 N
2 3 B
2 4 T
2 5 N
2 6 T
2 7 N
2 8 N
2 9 T
2 10 N
2 11 B
2 12 N
2 13 N
2 14 N
2 15 N
2 16 T
2 17 N
2 18 N
2 19 H
2 20 N
2 21 H
2 22 T
2 23 T
2 24 N
2 25 T
2 26 N
2 27 T
2 28 N
2 29 N
2 30 N
2 31 N
2 32 B
2 33 T
2 34 B
2 35 H
2 36 T
2 37 N
2 38 T
2 39 N
2 40 N
2 41 B
2 42 N
2 43 T
2 44 N
2 45 H
2 46 B
2 47 T
2 48 N
2 49 N
2 50 B
3 1 B
3 2 H
3 3 T
3 4 N
3 5 N
3 6 T
3 7 T
3 8 N
3 9 N
3 10 H
3 11 H
3 12 N
3 13 T
3 14 H
3 15 N
3 16 T
3 17 H
3 18 N
3 19 N
3 20 B
3 21 T
3 22 N
3 23 N
3 24 N
3 25 T
3 26 N
3 27 H
3 28 B
3 29 N
3 30 N
3 31 T
3 32 N
3 33 N
3 34 T
3 35 N
3 36 B
3 37 N
3 38 H
3 39 H
3 40 N
3 41 N
3 42 T
3 43 T
3 44 B
3 45 N
3 46 N
3 47 N
3 48 T
3 49 H
3 50 T
4 1 N
4 2 T
4 3 H
4 4 N
4 5 N
4 6 N
4 7 H
4 8 T
4 9 H
4 10 N
4 11 T
4 12 B
4 13 N
4 14 N
4 15 N
4 16 T
4 17 T
4 18 N
4 19 N
4 20 N
4 21 B
4 22 B
4 23 T
4 24 N
4 25 N
4 26 N
4 27 T
4 28 N
4 29 H
4 30 N
4 31 N
4 32 H
4 33 H
4 34 T
4 35 N
4 36 N
4 37 N
4 38 N
4 39 H
4 40 N
4 41 H
4 42 T
4 43 N
4 44 N
4 45 T
4 46 N
4 47 N
4 48 N
4 49 N
4 50 H
5 1 N
5 2 T
5 3 H
5 4 N
5 5 T
5 6 N
5 7 T
5 8 H
5 9 N
5 10 T
5 11 H
5 12 T
5 13 N
5 14 N
5 15 N
5 16 B
5 17 H
5 18 N
5 19 N
5 20 T
5 21 N
5 22 N
5 23 N
5 24 T
5 25 B
5 26 H
5 27 H
5 28 T
5 29 N
5 30 N
5 31 N
5 32 N
5 33 N
5 34 H
5 35 N
5 36 N
5 37 T
5 38 N
5 39 N
5 40 T
5 41 T
5 42 H
5 43 N
5 44 B
5 45 H
5 46 H
5 47 H
5 48 T
5 49 N
5 50 N
6 1 N
6 2 T
6 3 T
6 4 N
6 5 N
6 6 N
6 7 T
6 8 B
6 9 N
6 10 T
6 11 T
6 12 N
6 13 N
6 14 N
6 15 N
6 16 N
6 17 N
6 18 H
6 19 N
6 20 N
6 21 N
6 22 N
6 23 N
6 24 N
6 25 N
6 26 T
6 27 N
6 28 N
6 29 T
6 30 N
6 31 N
6 32 T
6 33 B
6 34 N
6 35 B
6 36 N
6 37 N
6 38 N
6 39 T
6 40 T
6 41 H
6 42 T
6 43 N
6 44 H
6 45 H
6 46 H
6 47 N
6 48 B
6 49 T
6 50 N
7 1 N
7 2 N
7 3 H
7 4 N
7 5 B
7 6 N
7 7 N
7 8 B
7 9 N
7 10 N
7 11 N
7 12 N
7 13 N
7 14 N
7 15 T
7 16 H
7 17 N
7 18 H
7 19 N
7 20 T
7 21 N
7 22 H
7 23 T
7 24 T
7 25 T
7 26 N
7 27 H
7 28 H
7 29 N
7 30 N
7 31 N
7 32 H
7 33 N
7 34 H
7 35 N
7 36 N
7 37 N
7 38 N
7 39 B
7 40 N
7 41 H
7 42 N
7 43 N
7 44 T
7 45 T
7 46 B
7 47 T
7 48 N
7 49 N
7 50 N
8 1 N
8 2 N
8 3 H
8 4 T
8 5 T
8 6 N
8 7 N
8 8 N
8 9 H
8 10 H
8 11 N
8 12 N
8 13 T
8 14 N
8 15 N
8 16 N
8 17 N
8 18 H
8 19 T
8 20 B
8 21 N
8 22 N
8 23 T
8 24 N
8 25 N
8 26 B
8 27 H
8 28 N
8 29 N
8 30 N
8 31 N
8 32 N
8 33 N
8 34 N
8 35 N
8 36 H
8 37 H
8 38 B
8 39 B
8 40 N
8 41 T
8 42 H
8 43 B
8 44 H
8 45 N
8 46 H
8 47 N
8 48 T
8 49 T
8 50 N
9 1 N
9 2 B
9 3 T
9 4 N
9 5 T
9 6 B
9 7 N
9 8 N
9 9 T
9 10 H
9 11 B
9 12 T
9 13 N
9 14 N
9 15 H
9 16 H
9 17 N
9 18 T
9 19 N
9 20 T
9 21 B
9 22 H
9 23 H
9 24 N
9 25 H
9 26 N
9 27 N
9 28 N
9 29 T
9 30 H
9 31 N
9 32 H
9 33 H
9 34 H
9 35 N
9 36 H
9 37 N
9 38 T
9 39 T
9 40 N
9 41 N
9 42 T
9 43 H
9 44 N
9 45 N
9 46 N
9 47 H
9 48 H
9 49 T
9 50 N
10 1 N
10 2 N
10 3 N
10 4 T
10 5 N
10 6 H
10 7 N
10 8 N
10 9 N
10 10 N
10 11 T
10 12 T
10 13 H
10 14 H
10 15 T
10 16 B
10 17 N
10 18 N
10 19 T
10 20 T
10 21 N
10 22 N
10 23 N
10 24 H
10 25 B
10 26 N
10 27 B
10 28 N
10 29 N
10 30 B
10 31 H
10 32 T
10 33 B
10 34 T
10 35 H
10 36 H
10 37 N
10 38 N
10 39 N
10 40 B
10 41 T
10 42 N
10 43 N
10 44 N
10 45 N
10 46 N
10 47 H
10 48 N
10 49 N
10 50 N
11 1 N
11 2 H
11 3 N
11 4 N
11 5 N
11 6 N
11 7 B
11 8 B
11 9 N
11 10 N
11 11 N
11 12 N
11 13 H
11 14 T
11 15 N
11 16 N
11 17 N
11 18 T
11 19 H
11 20 N
11 21 N
11 22 H
11 23 H
11 24 H
11 25 H
11 26 H
11 27 B
11 28 B
11 29 T
11 30 T
11 31 N
11 32 N
11 33 N
11 34 N
11 35 N
11 36 N
11 37 N
11 38 T
11 39 T
11 40 N
11 41 N
11 42 H
11 43 N
11 44 N
11 45 N
11 46 B
11 47 N
11 48 H
11 49 H
11 50 T
12 1 N
12 2 N
12 3 N
12 4 H
12 5 B
12 6 N
12 7 N
12 8 T
12 9 N
12 10 N
12 11 N
12 12 B
12 13 H
12 14 H
12 15 N
12 16 H
12 17 N
12 18 N
12 19 T
12 20 H
12 21 B
12 22 N
12 23 H
12 24 T
12 25 N
12 26 T
12 27 H
12 28 N
12 29 N
12 30 N
12 31 N
12 32 T
12 33 N
12 34 N
12 35 T
12 36 H
12 37 N
12 38 H
12 39 N
12 40 T
12 41 B
12 42 T
12 43 N
12 44 N
12 45 N
12 46 N
12 47 N
12 48 H
12 49 N
12 50 N
13 1 T
13 2 H
13 3 T
13 4 N
13 5 N
13 6 T
13 7 T
13 8 B
13 9 N
13 10 B
13 11 T
13 12 N
13 13 H
13 14 B
13 15 N
13 16 H
13 17 T
13 18 N
13 19 N
13 20 B
13 21 H
13 22 T
13 23 N
13 24 H
13 25 T
13 26 N
13 27 T
13 28 H
13 29 T
13 30 B
13 31 H
13 32 N
13 33 N
13 34 N
13 35 N
13 36 N
13 37 N
13 38 N
13 39 T
13 40 N
13 41 N
13 42 N
13 43 N
13 44 N
13 45 N
13 46 T
13 47 B
13 48 N
13 49 N
13 50 T
14 1 H
14 2 N
14 3 N
14 4 N
14 5 N
14 6 H
14 7 T
14 8 N
14 9 H
14 10 B
14 11 T
14 12 N
14 13 T
14 14 N
14 15 B
14 16 N
14 17 H
14 18 B
14 19 T
14 20 H
14 21 N
14 22 N
14 23 H
14 24 B
14 25 N
14 26 N
14 27 T
14 28 T
14 29 N
14 30 H
14 31 N
14 32 N
14 33 N
14 34 H
14 35 N
14 36 H
14 37 H
14 38 N
14 39 T
14 40 N
14 41 N
14 42 B
14 43 N
14 44 B
14 45 N
14 46 N
14 47 H
14 48 H
14 49 N
14 50 N
15 1 N
15 2 N
15 3 T
15 4 N
15 5 N
15 6 N
15 7 T
15 8 N
15 9 H
15 10 N
15 11 T
15 12 N
15 13 H
15 14 N
15 15 H
15 16 N
15 17 N
15 18 T
15 19 N
15 20 N
15 21 N
15 22 T
15 23 B
15 24 N
15 25 N
15 26 N
15 27 H
15 28 T
15 29 N
15 30 N
15 31 N
15 32 H
15 33 B
15 34 T
15 35 B
15 36 N
15 37 T
15 38 B
15 39 N
15 40 T
15 41 N
15 42 N
15 43 B
15 44 N
15 45 N
15 46 T
15 47 N
15 48 N
15 49 N
15 50 H
16 1 H
16 2 N
16 3 N
16 4 H
16 5 N
16 6 N
16 7 N
16 8 N
16 9 H
16 10 H
16 11 T
16 12 N
16 13 H
16 14 N
16 15 H
16 16 H
16 17 N
16 18 T
16 19 N
16 20 H
16 21 N
16 22 N
16 23 N
16 24 B
16 25 N
16 26 N
16 27 T
16 28 N
16 29 H
16 30 T
16 31 N
16 32 B
16 33 T
16 34 H
16 35 T
16 36 T
16 37 N
16 38 N
16 39 N
16 40 B
16 41 T
16 42 N
16 43 T
16 44 N
16 45 N
16 46 H
16 47 N
16 48 N
16 49 H
16 50 H
17 1 N
17 2 T
17 3 H
17 4 N
17 5 B
17 6 N
17 7 H
17 8 N
17 9 N
17 10 N
17 11 N
17 12 N
17 13 N
17 14 H
17 15 N
17 16 N
17 17 B
17 18 T
17 19 H
17 20 N
17 21 N
17 22 H
17 23 H
17 24 N
17 25 T
17 26 B
17 27 N
17 28 N
17 29 H
17 30 N
17 31 N
17 32 N
17 33 N
17 34 T
17 35 N
17 36 N
17 37 B
17 38 H
17 39 N
17 40 H
17 41 T
17 42 N
17 43 N
17 44 B
17 45 T
17 46 N
17 47 T
17 48 T
17 49 N
17 50 N
18 1 H
18 2 N
18 3 N
18 4 H
18 5 N
18 6 N
18 7 T
18 8 H
18 9 T
18 10 B
18 11 H
18 12 N
18 13 T
18 14 H
18 15 N
