100 50
1 1 H
1 2 N
1 3 N
1 4 N
1 5 T
1 6 N
1 7 T
1 8 B
1 9 T
1 10 H
1 11 N
1 12 N
1 13 N
1 14 H
1 15 N
1 16 H
1 17 N
1 18 T
1 19 N
1 20 N
1 21 N
1 22 H
1 23 N
1 24 T
1 25 H
1 26 H
1 27 N
1 28 B
1 29 N
1 30 T
1 31 H
1 32 N
1 33 N
1 34 T
1 35 H
1 36 N
1 37 N
1 38 N
1 39 N
1 40 H
1 41 H
1 42 N
1 43 N
1 44 N
1 45 N
1 46 N
1 47 N
1 48 H
1 49 H
1 50 H
2 1 N
2 2 N
2 3 N
2 4 H
2 5 H
2 6 T
2 7 N
2 8 N
2 9 B
2 10 H
2 11 N
2 12 N
2 13 H
2 14 N
2 15 T
2 16 B
2 17 N
2 18 N
2 19 N
2 20 N
2 21 T
2 22 T
2 23 N
2 24 N
2 25 H
2 26 N
2 27 T
2 28 H
2 29 H
2 30 N
2 31 H
2 32 N
2 33 N
2 34 B
2 35 N
2 36 H
2 37 H
2 38 T
2 39 N
2 40 N
2 41 T
2 42 N
2 43 N
2 44 N
2 45 N
2 46 H
2 47 N
2 48 H
2 49 T
2 50 B
3 1 T
3 2 N
3 3 T
3 4 H
3 5 T
3 6 B
3 7 N
3 8 B
3 9 N
3 10 H
3 11 N
3 12 T
3 13 T
3 14 T
3 15 N
3 16 N
3 17 B
3 18 H
3 19 N
3 20 N
3 21 N
3 22 B
3 23 H
3 24 N
3 25 N
3 26 B
3 27 N
3 28 N
3 29 N
3 30 N
3 31 B
3 32 H
3 33 N
3 34 N
3 35 N
3 36 N
3 37 T
3 38 N
3 39 T
3 40 N
3 41 N
3 42 T
3 43 H
3 44 T
3 45 T
3 46 B
3 47 B
3 48 B
3 49 H
3 50 N
4 1 N
4 2 N
4 3 N
4 4 N
4 5 H
4 6 N
4 7 N
4 8 N
4 9 T
4 10 T
4 11 T
4 12 N
4 13 B
4 14 N
4 15 N
4 16 T
4 17 N
4 18 H
4 19 N
4 20 N
4 21 N
4 22 N
4 23 T
4 24 N
4 25 T
4 26 T
4 27 H
4 28 T
4 29 H
4 30 N
4 31 N
4 32 N
4 33 N
4 34 H
4 35 B
4 36 T
4 37 T
4 38 N
4 39 N
4 40 H
4 41 N
4 42 H
4 43 T
4 44 T
4 45 H
4 46 N
4 47 B
4 48 N
4 49 N
4 50 B
5 1 H
5 2 N
5 3 N
5 4 B
5 5 N
5 6 N
5 7 N
5 8 T
5 9 N
5 10 N
5 11 N
5 12 N
5 13 N
5 14 N
5 15 H
5 16 N
5 17 B
5 18 H
5 19 N
5 20 H
5 21 H
5 22 T
5 23 N
5 24 H
5 25 N
5 26 T
5 27 N
5 28 N
5 29 H
5 30 B
5 31 H
5 32 N
5 33 B
5 34 N
5 35 N
5 36 N
5 37 T
5 38 N
5 39 N
5 40 B
5 41 N
5 42 T
5 43 N
5 44 H
5 45 N
5 46 H
5 47 T
5 48 N
5 49 H
5 50 N
6 1 H
6 2 N
6 3 H
6 4 H
6 5 B
6 6 T
6 7 T
6 8 T
6 9 T
6 10 T
6 11 N
6 12 T
6 13 N
6 14 N
6 15 H
6 16 B
6 17 N
6 18 N
6 19 B
6 20 N
6 21 H
6 22 B
6 23 B
6 24 N
6 25 N
6 26 H
6 27 N
6 28 N
6 29 N
6 30 N
6 31 N
6 32 N
6 33 N
6 34 T
6 35 T
6 36 N
6 37 N
6 38 H
6 39 T
6 40 N
6 41 B
6 42 H
6 43 N
6 44 H
6 45 N
6 46 N
6 47 N
6 48 N
6 49 T
6 50 N
7 1 N
7 2 N
7 3 N
7 4 T
7 5 N
7 6 N
7 7 T
7 8 B
7 9 N
7 10 H
7 11 N
7 12 N
7 13 H
7 14 H
7 15 T
7 16 T
7 17 N
7 18 B
7 19 B
7 20 N
7 21 B
7 22 N
7 23 N
7 24 N
7 25 N
7 26 N
7 27 T
7 28 T
7 29 N
7 30 T
7 31 N
7 32 N
7 33 N
7 34 N
7 35 N
7 36 N
7 37 T
7 38 N
7 39 N
7 40 B
7 41 T
7 42 T
7 43 N
7 44 N
7 45 N
7 46 N
7 47 H
7 48 N
7 49 T
7 50 B
8 1 T
8 2 N
8 3 N
8 4 H
8 5 H
8 6 N
8 7 N
8 8 N
8 9 H
8 10 B
8 11 H
8 12 H
8 13 N
8 14 N
8 15 H
8 16 T
8 17 N
8 18 N
8 19 H
8 20 N
8 21 T
8 22 N
8 23 B
8 24 B
8 25 B
8 26 H
8 27 H
8 28 N
8 29 N
8 30 N
8 31 N
8 32 N
8 33 N
8 34 T
8 35 N
8 36 H
8 37 N
8 38 N
8 39 N
8 40 N
8 41 H
8 42 N
8 43 T
8 44 N
8 45 N
8 46 T
8 47 H
8 48 N
8 49 H
8 50 N
9 1 N
9 2 B
9 3 N
9 4 N
9 5 T
9 6 N
9 7 T
9 8 T
9 9 B
9 10 H
9 11 N
9 12 B
9 13 N
9 14 N
9 15 T
9 16 N
9 17 N
9 18 H
9 19 B
9 20 H
9 21 N
9 22 N
9 23 N
9 24 H
9 25 N
9 26 B
9 27 N
9 28 N
9 29 T
9 30 N
9 31 H
9 32 T
9 33 N
9 34 B
9 35 N
9 36 B
9 37 N
9 38 N
9 39 T
9 40 H
9 41 N
9 42 H
9 43 B
9 44 N
9 45 B
9 46 N
9 47 N
9 48 T
9 49 N
9 50 N
10 1 B
10 2 N
10 3 T
10 4 H
10 5 N
10 6 N
10 7 H
10 8 N
10 9 T
10 10 B
10 11 N
10 12 T
10 13 T
10 14 N
10 15 T
10 16 B
10 17 N
